Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Education_Level,Monthly_Income,Experience_Years,Work_Location,Distance_From_Home_KM,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Relationship_With_Manager,Training_Hours_Last_Year,Years_Since_Last_Promotion,Salary_Hike_Percent,Projects_Handled,Absenteeism_Days,Stress_Level,Performance_Rating,Attrition,Attrition_Reason,Joining_Date,Email,Phone_Number,Attrition_Risk_Score
EMP00015,Hazel Atwal,33,Female,IT,Data Analyst,Diploma,35086,8,Pune,9,Yes,3,5,3,1,48,4,18,14,21,5,1,No,Not Provided,10-06-2016,Not Generated,503529383,9
EMP00016,Samar Bhargava,40,Female,Sales,Business Development Associate,Diploma,71253,19,Mumbai,23,Yes,3,4,1,4,5,0,7,1,12,2,2,No,Not Provided,28-02-2026,chandatrisha@shukla-dora.com,7092625881,4
EMP00017,Anika Keer,49,Other,Sales,Business Development Associate,Bachelors,121718,25,Delhi,34,Yes,5,3,4,2,21,10,15,5,7,4,5,No,Not Provided,31-07-2024,msheth@karpe.com,6670659551,10
EMP00018,Raghav Sama,21,Other,HR,HR Manager,Bachelors,99979,0,Kolkata,31,No,3,5,3,2,46,3,24,3,24,4,1,No,Not Provided,18-01-2024,raghavkrishnamurthy@hotmail.com,9608223179,6
EMP00019,Jayesh Rao,27,Other,Marketing,Content Strategist,Diploma,41054,0,Kolkata,36,No,3,3,4,2,9,3,24,14,22,5,2,No,Not Provided,22-06-2023,raghav52@gmail.com,7891391600,8
EMP00020,Tejas Mahal,44,Other,Operations,Operations Executive,Bachelors,52053,15,Hyderabad,36,Yes,2,3,2,5,16,4,16,10,18,2,2,No,Not Provided,16-11-2019,wkarpe@aggarwal.org,7638571633,10
EMP00021,Lavanya Sengupta,33,Male,HR,HR Manager,MBA,56289,6,Mumbai,12,Yes,4,4,3,2,17,2,15,7,15,1,5,No,Not Provided,16-09-2020,chakrabartianya@gandhi-khatri.com,9925567025,4
EMP00022,Seher Sunder,17,Female,IT,Software Engineer,MBA,109432,1,Kolkata,16,Yes,2,3,2,2,52,10,6,6,4,5,3,Yes,"Poor Work Life Balance, Overtime, Manager Issues",10-01-2022,samiha65@lad.biz,8943254932,14
EMP00023,Lakshit Sachdeva,40,Male,Finance,Finance Manager,Diploma,99912,16,Noida,34,No,2,2,1,4,13,6,24,14,5,3,5,Yes,"Poor Work Life Balance, Low Job Satisfaction, No Promotion",16-07-2025,dhanuk85@hotmail.com,2152905153,13
EMP00024,Jivin Kala,27,Female,Finance,Financial Analyst,Bachelors,133768,6,Bangalore,33,No,1,3,2,5,16,9,23,7,1,5,2,No,Not Provided,20-06-2021,reyansh48@hotmail.com,164372789,11
EMP00025,Piya Tank,21,Female,Customer Support,Customer Success Manager,Diploma,38960,0,Hyderabad,10,No,3,5,2,5,61,3,25,6,5,1,3,No,Not Provided,24-07-2022,keya71@gmail.com,6636296907,2
EMP00026,Taimur Batra,25,Male,Sales,Sales Manager,Diploma,139941,0,Kolkata,24,No,1,3,4,1,9,5,18,6,2,1,3,No,Not Provided,16-08-2016,sandaljhanvi@bhargava.com,3158450516,7
EMP00027,Armaan Brahmbhatt,34,Male,Finance,Accountant,Masters,165671,12,Kolkata,38,Yes,2,5,5,3,34,1,22,3,11,5,3,No,Not Provided,07-04-2018,eshani17@yahoo.com,6923897681,9
EMP00028,Advik Deo,44,Female,Marketing,Content Strategist,Masters,113369,15,Mumbai,4,Yes,4,5,5,2,55,0,9,6,6,2,3,No,Not Provided,02-05-2022,duagokul@dey-rau.info,8576850123,4
EMP00029,Aarush Venkataraman,55,Female,HR,Recruiter,MBA,64878,31,Mumbai,1,No,1,2,2,1,67,4,20,10,12,1,4,No,Not Provided,18-09-2022,lavanya21@jha.com,2393201525,12
EMP00030,Jayant Manda,45,Male,Customer Support,Customer Success Manager,Diploma,133885,20,Bangalore,31,Yes,5,1,3,3,70,1,13,4,4,1,1,No,Not Provided,03-03-2022,Not Generated,6187334121,6
EMP00031,Not Available,31,Other,HR,HR Manager,MBA,107866.6344,3,Delhi,22,Yes,4,4,1,2,36,10,5,2,24,2,2,No,Not Provided,21-01-2022,htripathi@brar.com,4372077330,10
EMP00032,Seher Deol,46,Female,IT,Data Analyst,Masters,69375,26,Kolkata,13,No,5,1,5,2,16,7,2,12,12,2,5,No,Not Provided,20-11-2025,chadafarhan@gmail.com,9830450821,11
EMP00033,Aarush Solanki,53,Male,Marketing,Content Strategist,Bachelors,50694,32,Noida,17,Yes,4,2,5,4,20,8,18,9,14,1,2,No,Not Provided,08-02-2018,somjhanvi@yahoo.com,7647576093,7
EMP00034,Vivaan Ramaswamy,35,Other,Finance,Finance Manager,Masters,161542,15,Noida,31,Yes,2,3,2,3,30,1,3,1,20,2,5,No,Not Provided,31-05-2020,riya67@yahoo.com,5220961199,10
EMP00035,Sara Butala,44,Male,Sales,Sales Executive,Bachelors,88503,23,Mumbai,12,No,3,2,1,5,56,4,19,2,25,1,1,No,Not Provided,23-07-2021,ramaswamyyashvi@yahoo.com,33156633,5
EMP00036,Azad Dora,60,Female,Finance,Finance Manager,MBA,99719,34,Bangalore,28,Yes,1,2,5,1,63,10,8,13,25,1,3,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",31-05-2022,kkala@kaur.com,1758068012,15
EMP00037,Renee Kata,57,Male,Customer Support,Customer Success Manager,Bachelors,87308,28,Bangalore,17,No,5,2,2,4,54,10,1,9,20,2,4,No,Not Provided,25-02-2024,bhatnagarmyra@gmail.com,5465599897,9
EMP00038,Nitara Bawa,56,Other,Sales,Sales Manager,MBA,100830,28,Delhi,27,Yes,4,3,3,3,32,3,13,6,6,5,5,No,Not Provided,16-05-2018,myrasaraf@swaminathan.com,402193107,6
EMP00039,Nayantara Arora,35,Other,Finance,Accountant,Bachelors,131662,14,Pune,3,No,2,3,3,2,67,0,22,6,6,4,2,No,Not Provided,13-04-2025,vanya52@gmail.com,2102869526,8
EMP00040,Diya Seth,38,Other,Sales,Sales Executive,Bachelors,165847,16,Bangalore,7,No,5,3,5,1,70,4,22,3,18,5,4,No,Not Provided,23-05-2020,vanya60@sood-kadakia.com,5456300202,5
EMP00041,Madhup Bhatti,22,Other,Finance,HR Executive,Diploma,94441,0,Chennai,27,No,4,1,2,4,59,2,6,15,8,5,2,No,Not Provided,20-04-2023,keya21@hotmail.com,6164139325,11
EMP00042,Vivaan Jhaveri,28,Other,Sales,Sales Manager,Diploma,121064,5,Bangalore,28,No,5,4,1,1,35,7,10,14,11,5,3,No,Not Provided,29-08-2023,purab96@sood.com,6842436394,12
EMP00043,Kiaan Walla,58,Other,Finance,Finance Manager,Bachelors,103414.5185,37,Noida,27,Yes,5,5,5,5,69,7,8,5,16,1,1,No,Not Provided,07-12-2025,sairashetty@wagle.com,4757922792,5
EMP00044,Jhanvi Viswanathan,41,Other,Finance,Accountant,Diploma,84390,12,Bangalore,35,No,3,3,3,4,47,7,1,9,11,5,4,No,Not Provided,03-01-2017,chawlaindrans@gmail.com,2441738057,8
EMP00045,Mehul Viswanathan,31,Male,IT,BI Developer,Bachelors,159446,2,Mumbai,34,No,4,3,4,5,78,6,2,15,22,1,2,No,Not Provided,24-12-2024,xbose@hotmail.com,9531001325,7
EMP00046,Anay Ratta,41,Female,Sales,Sales Executive,Bachelors,107401.1714,18,Bangalore,17,Yes,2,1,2,3,63,9,8,15,14,1,5,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",24-01-2019,walitiya@gmail.com,9906674823,14
EMP00047,Badal Bhalla,52,Other,Marketing,SEO Specialist,MBA,42753,30,Hyderabad,3,No,4,4,2,5,67,3,19,3,3,2,3,No,Not Provided,15-06-2019,fateh43@hotmail.com,9465102626,2
EMP00048,Ela Srinivas,35,Female,Sales,Business Development Associate,Masters,42423,13,Pune,10,No,2,5,4,5,80,7,14,15,11,3,3,No,Not Provided,24-05-2018,ira96@tak-sundaram.com,8210786115,7
EMP00049,Kismat Raj,54,Female,IT,System Admin,Diploma,156651,30,Chennai,27,Yes,5,4,2,4,6,10,2,8,2,1,4,No,Not Provided,20-06-2022,aaina95@hotmail.com,1736948142,9
EMP00050,Kanav Chopra,22,Male,Finance,Accountant,MBA,84619,0,Chennai,39,Yes,5,3,2,2,63,9,20,4,16,5,4,No,Not Provided,24-08-2023,mandmohanlal@sane.com,8700772820,12
EMP00051,Taran Rattan,60,Other,Operations,Operations Executive,Masters,70778,38,Hyderabad,21,Yes,1,3,1,5,45,5,3,2,4,3,5,No,Not Provided,08-05-2021,anvi52@yadav.com,1094263741,11
EMP00052,Ishaan Venkatesh,47,Male,Operations,Operations Executive,Diploma,27776,21,Noida,34,Yes,4,1,3,3,48,8,18,10,13,4,1,Yes,"Overtime, Low Job Satisfaction, High Stress",10-08-2021,skamdar@gmail.com,2847868342,13
EMP00053,Vritika Dutt,32,Male,HR,HR Manager,Bachelors,119530,5,Delhi,25,Yes,2,5,3,1,57,4,25,10,25,5,1,Yes,"Poor Work Life Balance, Overtime, Manager Issues",23-06-2018,madhup90@kapur.biz,7071056666,13
EMP00054,Ivana Sheth,47,Other,Operations,Operations Executive,MBA,128880,17,Kolkata,27,Yes,2,1,1,3,31,9,24,2,3,3,2,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",23-10-2020,magaradah@thaker.com,6256389974,13
EMP00055,Lagan Gandhi,23,Male,HR,HR Executive,Bachelors,97603.7265,0,Kolkata,19,Yes,4,1,5,2,36,5,23,2,24,5,4,No,Not Provided,09-07-2023,vyashansh@joshi.com,4027396688,12
EMP00056,Abram Boase,37,Male,HR,Recruiter,Diploma,61637,14,Mumbai,25,Yes,1,5,4,1,64,10,17,2,21,3,4,No,Not Provided,29-10-2018,sairabrahmbhatt@hotmail.com,9065427900,10
EMP00057,Taran Suri,49,Male,IT,BI Developer,MBA,129157,25,Pune,6,No,3,5,4,1,56,6,25,14,4,2,3,No,Not Provided,22-10-2017,inaaya-64@gmail.com,7906409315,6
EMP00058,Bhavin Ram,35,Female,Marketing,Marketing Manager,Masters,75192,10,Chennai,38,No,5,1,3,3,67,0,11,11,25,5,3,No,Not Provided,30-12-2022,nakul76@yahoo.com,2413347937,9
EMP00059,Gatik Vora,40,Female,HR,Recruiter,Bachelors,61037,13,Mumbai,36,Yes,3,4,5,4,37,9,9,3,14,1,5,No,Not Provided,22-12-2016,nakulsengupta@kakar.com,6228159222,5
EMP00060,Neysa Sama,24,Female,HR,HR Executive,Masters,116434,0,Mumbai,8,Yes,3,1,2,2,67,10,21,7,18,2,1,No,Not Provided,16-11-2020,ikari@chana.info,6166115184,11
EMP00061,Shalv Sur,36,Female,IT,BI Developer,Diploma,87536,15,Delhi,5,Yes,5,3,5,3,52,0,4,5,25,5,4,No,Not Provided,08-11-2023,dhanushgara@gmail.com,8367783895,7
EMP00062,Rania Yogi,47,Male,Customer Support,Support Executive,Diploma,156804,22,Pune,8,No,5,5,4,5,65,5,4,1,25,1,4,No,Not Provided,11-01-2025,devanshkunda@gmail.com,181160253,4
EMP00063,Siya Sastry,54,Female,Operations,Supply Chain Analyst,Diploma,118269,29,Mumbai,26,No,4,2,5,3,30,7,1,8,7,2,3,No,Not Provided,16-06-2018,aradhyabava@gopal.info,4095497795,8
EMP00064,Kavya Shetty,48,Male,HR,HR Executive,Diploma,31728,26,Mumbai,10,No,5,4,1,1,34,1,6,8,7,1,3,No,Not Provided,26-10-2025,piya36@hotmail.com,3448256902,4
EMP00065,Heer Kant,49,Male,HR,Recruiter,Bachelors,161315,21,Kolkata,32,No,3,1,4,5,9,4,21,15,11,2,1,No,Not Provided,31-12-2020,borakanav@ahuja.info,5823757816,6
EMP00066,Gokul Desai,49,Female,HR,HR Manager,Bachelors,76113,27,Chennai,4,Yes,2,4,5,4,35,3,17,7,10,1,1,No,Not Provided,11-06-2020,rgole@buch.com,6248627873,5
EMP00067,Mishti Saraf,41,Male,Sales,Sales Manager,Bachelors,64832,13,Chennai,19,Yes,5,5,4,5,76,5,15,11,11,5,1,No,Not Provided,25-06-2018,rvohra@hotmail.com,4879729160,9
EMP00068,Tara Wagle,40,Male,Sales,Business Development Associate,Bachelors,83628,18,Kolkata,30,No,4,5,1,3,4,6,21,8,5,3,1,No,Not Provided,31-05-2020,gabahansh@gmail.com,5271428654,5
EMP00069,Dhruv Agarwal,23,Female,IT,Data Analyst,MBA,65683,0,Delhi,31,No,1,4,1,5,35,2,7,5,15,2,5,No,Not Provided,27-07-2021,shaandave@gmail.com,2090900054,6
EMP00070,Charvi Tailor,33,Other,IT,Software Engineer,Bachelors,49331,7,Bangalore,36,Yes,5,3,2,3,12,3,11,15,9,5,1,No,Not Provided,21-06-2020,takanahita@wali.info,4553423585,10
EMP00071,Lavanya Bahri,50,Female,Sales,Business Development Associate,Diploma,95531,24,Noida,30,Yes,4,3.039382866,2,1,38,5,7,5,7,3,4,No,Not Provided,26-02-2020,jhavihaan@gmail.com,6454945360,9
EMP00072,Suhana Mann,23,Female,Operations,Supply Chain Analyst,Masters,169016,0,Bangalore,30,Yes,4,1,4,3,12,9,10,4,8,4,1,No,Not Provided,05-07-2025,tanya10@kannan-sekhon.biz,4305540905,11
EMP00073,Not Available,41,Female,HR,Recruiter,MBA,55497,16,Bangalore,21,No,3,4,2,1,31,2,19,2,22,4,4,No,Not Provided,15-04-2021,miraya50@yohannan.org,6867459848,7
EMP00074,Purab Srinivasan,39,Female,Marketing,Content Strategist,MBA,102443,16,Delhi,33,Yes,3,2,5,3,13,2,22,6,18,3,4,No,Not Provided,25-06-2021,pari72@bakshi.com,7206225322,6
EMP00075,Shaan Ram,25,Female,Customer Support,Support Executive,Masters,84868,0,Kolkata,37,Yes,5,1,4,5,73,8,9,4,3,1,1,No,Not Provided,04-06-2024,miraya97@hotmail.com,2662668858,8
EMP00076,Anaya Raman,45,Other,Finance,Finance Manager,Diploma,28283,22,Delhi,4,No,3,1,5,5,63,5,24,10,20,5,4,No,Not Provided,12-12-2025,imalhotra@gmail.com,3445362438,10
EMP00078,Romil Arora,58,Other,IT,BI Developer,Bachelors,109118,37,Bangalore,12,Yes,4,5,5,2,12,9,7,15,9,4,4,No,Not Provided,16-11-2022,zbaral@kota.com,3298426793,11
EMP00079,Sahil Borah,52,Male,Finance,Accountant,MBA,139535,29,Kolkata,26,Yes,3,4,4,3,13,6,18,10,14,4,4,No,Not Provided,27-06-2017,vritikachakrabarti@kunda.com,9669753026,10
EMP00080,Anya Kohli,29,Other,Marketing,SEO Specialist,Bachelors,101060.0377,7,Pune,28,Yes,1,5,1,1,39,8,12,3,21,5,2,Yes,"Poor Work Life Balance, Overtime, Manager Issues",15-10-2025,divit94@gmail.com,5854123593,15
EMP00081,Myra Verma,58,Female,Sales,Sales Manager,Bachelors,131687,35,Delhi,12,Yes,4,3,2,4,37,7,4,15,13,4,2,Yes,"Overtime, High Stress, No Promotion",07-09-2023,senguptamadhup@vohra.info,1008855114,13
EMP00082,Saira Sen,55,Male,Customer Support,Customer Success Manager,Masters,112904,32,Delhi,5,Yes,5,3,2,3,36,3,16,6,2,4,5,No,Not Provided,19-12-2025,shettytiya@gmail.com,2921238935,7
EMP00083,Raghav Das,52,Female,IT,BI Developer,Diploma,100977,29,Bangalore,29,No,3,2,2,4,26,0,7,11,8,1,4,No,Not Provided,24-08-2022,dhanushkanda@ranganathan-rama.com,926581563,8
EMP00084,Mannat Sastry,30,Female,Sales,Sales Executive,Diploma,45857,4,Pune,3,No,3,2,2,3,31,2,2,7,4,2,1,No,Not Provided,09-11-2019,Not Generated,3619861706,7
EMP00085,Arhaan Kashyap,46,Male,Sales,Sales Executive,Masters,30505,21,Mumbai,36,No,4,3,4,2,55,2,25,2,6,1,4,No,Not Provided,09-07-2023,amira54@gmail.com,8833469073,3
EMP00086,Eshani Vasa,29,Female,Sales,Sales Executive,Masters,146029,5,Kolkata,29,Yes,1,2,2,4,50,5,24,15,4,4,5,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",06-11-2019,pray@kalita.com,9078773256,18
EMP00087,Mannat Dayal,45,Male,Customer Support,Customer Success Manager,Bachelors,136343,20,Noida,32,Yes,1,2,2,2,64,2,13,6,2,1,5,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",03-04-2023,akoshy@saraf.com,149559710,13
EMP00088,Azad Dasgupta,57,Male,Sales,Sales Manager,Diploma,55403,35,Pune,1,Yes,1,4,5,4,51,8,14,5,1,2,5,No,Not Provided,30-07-2018,ldewan@yahoo.com,9334897015,7
EMP00089,Dhanush Master,42,Other,Customer Support,Customer Success Manager,Masters,123377,18,Chennai,40,Yes,2,4,4,4,45,10,25,8,13,4,5,No,Not Provided,16-04-2024,kiaanlalla@bala.com,7500205580,11
EMP00090,Kismat Dugar,38,Male,Finance,Financial Analyst,Bachelors,48141,9,Chennai,19,No,5,2,1,2,44,5,17,4,22,3,1,No,Not Provided,13-05-2017,advikarajagopal@hotmail.com,7295325513,9
EMP00091,Advik Chada,45,Female,Sales,Business Development Associate,Bachelors,48651,22,Delhi,5,No,1,1,3,2,76,8,18,10,6,2,2,No,Not Provided,22-10-2023,rajagopaldevansh@kumar.com,9683073881,12
EMP00092,Dhruv Baria,25,Female,HR,HR Executive,Masters,147954,0,Mumbai,12,Yes,2,2,4,4,70,7,6,14,0,4,4,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",02-08-2016,mirayaravi@gmail.com,1362811619,15
EMP00093,Aarav Dyal,34,Male,HR,Recruiter,Masters,120262,9,Hyderabad,22,Yes,1,1,4,3,19,3,8,14,9,1,1,No,Not Provided,18-06-2017,dhawangatik@chadha.com,6564883510,10
EMP00094,Vanya Chokshi,34,Other,Marketing,Marketing Manager,MBA,39123,7,Noida,4,No,4,5,2,2,30,5,2,3,20,1,5,No,Not Provided,05-06-2023,ekeer@kapoor.info,8455916676,8
EMP00095,Alia Kadakia,24,Female,IT,System Admin,Diploma,32072,0,Chennai,38,No,4,4,2,4,5,1,12,11,13,3,1,No,Not Provided,03-10-2017,ysankaran@bath.com,5792292284,5
EMP00096,Kismat Kale,48,Male,Operations,Operations Executive,MBA,111674,23,Noida,14,Yes,1,3,2,2,37,2,12,4,19,3,2,No,Not Provided,06-09-2025,rsavant@hotmail.com,6772772284,9
EMP00097,Zara Yogi,38,Female,Operations,Operations Executive,MBA,106829,11,Delhi,8,No,4,3,1,2,71,2,23,8,16,4,3,No,Not Provided,19-02-2023,jivinbhalla@ganesan-barad.net,6776869774,7
EMP00098,Raghav Bumb,50,Other,Finance,Accountant,Masters,137285,24,Kolkata,2,Yes,2,5,2,5,40,10,10,10,9,3,2,No,Not Provided,01-02-2020,ogoyal@magar.org,3041576736,11
EMP00099,Diya Toor,51,Male,IT,BI Developer,Masters,129662,27,Chennai,3,No,2,4,4,3,69,7,14,14,17,1,3,No,Not Provided,16-02-2018,cchowdhury@doctor-gokhale.com,470957647,7
EMP00100,Arnav Samra,37,Female,HR,HR Executive,Diploma,44942,17,Mumbai,20,Yes,1,2,2,4,51,8,12,14,17,3,4,Yes,"Poor Work Life Balance, Overtime, Low Job Satisfaction",12-02-2026,gatikshukla@saxena-chacko.com,8742837358,14
EMP00101,Arhaan Khare,51,Female,HR,HR Executive,MBA,174407,31,Bangalore,16,No,3,1,2,1,29,7,25,7,20,4,1,No,Not Provided,19-10-2022,purabkumar@hotmail.com,5449571937,12
EMP00102,Ayesha Kalita,23,Other,Finance,Accountant,MBA,102195.4237,0,Kolkata,31,No,5,3,5,2,69,4,7,8,17,4,5,No,Not Provided,23-06-2018,qchaudhari@hotmail.com,7816873696,6
EMP00103,Not Available,24,Male,IT,Data Analyst,MBA,54120,3,Delhi,14,Yes,4,1,4,5,58,5,23,7,13,2,2,No,Not Provided,01-04-2017,amanidara@yahoo.com,3744249921,7
EMP00104,Rhea Choudhry,27,Male,HR,HR Manager,Diploma,156792,1,Kolkata,34,No,5,4,1,3,26,0,7,8,17,4,3,No,Not Provided,28-10-2018,fateh55@gmail.com,6038556243,6
EMP00105,Yuvraj  Anne,55,Female,Operations,Supply Chain Analyst,MBA,134503,29,Bangalore,32,Yes,4,1,4,5,55,6,5,5,5,5,2,Yes,"Overtime, Low Job Satisfaction, High Stress",18-02-2018,subramaniambadal@dara.com,4294643069,13
EMP00106,Lakshay Bhatt,22,Other,Finance,Financial Analyst,Bachelors,89698,0,Hyderabad,3,Yes,3,1,2,3,54,8,7,2,8,2,2,No,Not Provided,30-04-2023,ishita51@kunda.com,5761214804,9
EMP00107,Anvi Barad,48,Other,Sales,Sales Executive,MBA,33684,18,Chennai,35,Yes,3,4,1,3,1,9,9,5,25,3,5,No,Not Provided,12-03-2017,nwason@gmail.com,6930358139,7
EMP00108,Tejas Wable,53,Other,Customer Support,Customer Success Manager,Masters,74441,29,Hyderabad,32,Yes,5,5,1,2,76,6,21,6,9,4,5,No,Not Provided,02-07-2024,kapadiavedika@hotmail.com,7076075380,12
EMP00109,Kiaan Banerjee,28,Female,Finance,Financial Analyst,Diploma,48760,7,Hyderabad,39,No,5,1,1,1,3,6,4,12,17,1,3,Yes,"Low Job Satisfaction, Manager Issues, No Promotion",26-07-2018,indrajit73@hotmail.com,5748217600,14
EMP00110,Mehul Manne,37,Male,Sales,Sales Executive,MBA,104566,8,Delhi,4,Yes,5,5,4,4,57,7,13,4,11,1,4,No,Not Provided,29-08-2016,edada@mani.biz,1757682326,4
EMP00111,Tejas Hari,59,Male,Not assigned,Marketing Manager,Diploma,159639,31,Mumbai,36,Yes,3,4,1,4,23,9,2,15,21,2,4,No,Not Provided,12-07-2016,nirvaan00@ganesan-bhagat.net,4832137847,11
EMP00112,Nakul Dhar,28,Male,Marketing,SEO Specialist,Masters,117173,7,Kolkata,5,No,1,1,1,2,35,3,16,7,20,1,1,No,Not Provided,10-11-2023,uvora@goda.com,4007269042,10
EMP00113,Dhanuk Batra,25,Male,Customer Support,Support Executive,Diploma,168964,2,Chennai,19,Yes,2,5,5,5,37,4,4,5,19,3,3,No,Not Provided,04-08-2020,darshitlall@ramachandran-raja.com,1749401547,7
EMP00114,Aarna Gopal,23,Male,IT,System Admin,Bachelors,33259,0,Bangalore,21,No,4,2,3,5,31,5,25,4,7,4,5,No,Not Provided,08-02-2017,damini27@virk-sura.com,4894037882,8
EMP00115,Kartik Ghose,47,Other,Finance,Financial Analyst,Bachelors,69156,18,Pune,2,Yes,3,5,1,4,38,0,23,2,17,1,1,No,Not Provided,03-11-2023,ramakrishnanmadhup@badami.com,8581487960,4
EMP00116,Jayant Kaur,57,Female,Marketing,SEO Specialist,Masters,132792,34,Kolkata,10,No,5,1,5,1,33,4,21,13,12,1,5,No,Not Provided,05-06-2020,ishaanagrawal@jhaveri-konda.info,8346119507,7
EMP00117,Yashvi Bhavsar,49,Male,Sales,Sales Manager,MBA,29883,25,Noida,29,No,2,5,4,1,27,7,25,5,7,1,1,No,Not Provided,18-04-2018,ekalita@rattan.com,2569349264,8
EMP00118,Yuvraj  Khatri,55,Male,IT,Software Engineer,MBA,134134,32,Mumbai,28,No,1,5,1,2,80,10,10,10,25,2,3,No,Not Provided,16-08-2022,riya05@gmail.com,3335141187,12
EMP00119,Kismat Mahajan,24,Other,Finance,Financial Analyst,Bachelors,123751,0,Hyderabad,9,Yes,4,2,3,3,72,10,10,15,13,3,2,No,Not Provided,17-06-2020,devanshgera@de-srivastava.com,5772540855,9
EMP00120,Indrajit Bhakta,46,Other,IT,Data Analyst,Diploma,73673,19,Bangalore,10,Yes,1,3,4,1,14,4,8,10,2,3,1,No,Not Provided,29-04-2020,dsinghal@sastry.net,3181197172,9
EMP00121,Devansh Shroff,33,Other,Customer Support,Support Executive,Bachelors,115567,8,Noida,1,Yes,5,2,1,5,74,5,11,5,4,4,3,No,Not Provided,26-05-2021,tchokshi@yahoo.com,9487775147,12
EMP00122,Sahil Kothari,43,Other,Finance,Accountant,MBA,140392,16,Noida,33,No,1,2,1,3,27,9,4,7,21,5,5,Yes,"Poor Work Life Balance, Low Job Satisfaction, High Stress",05-01-2025,vivaansur@gmail.com,3839128678,16
EMP00123,Seher Dua,54,Female,Customer Support,Customer Success Manager,Bachelors,78002,30,Delhi,18,Yes,5,2,1,3,11,8,2,8,17,4,3,Yes,"Overtime, Low Job Satisfaction, High Stress",24-05-2023,samiishaan@batta.info,3249660892,14
EMP00124,Shamik Kara,52,Other,IT,Software Engineer,Masters,138368,24,Hyderabad,4,Yes,4,2,4,5,0,5,8,13,19,2,5,No,Not Provided,19-08-2018,zsahota@hotmail.com,1829846252,9
